documentId,Paragraph,Compound
US20080114164A1,"A suspension of sodium hydride (60% in mineral oil,13.6 g, 368 mmol) in N,N-dimethylformamide (160 ml) was cooled to −10° C. or below under a nitrogen atmosphere. Ethyl isocyanoacetate (36.2 g, 320 mmol) was gradually added dropwise to the cooled suspension, and the mixture was stirred at −3 to 5° C. for 2 hr. This solution was cooled to −20° C. or below and was added dropwise to a solution of 2,5-dibromothiazole (38.8 g, 160 mmol) in N,N-dimethylformamide over a period of about 20 min, and the mixture was stirred at −5 to −20° C. for 2 hr. Water (8 ml) was added thereto to stop the reaction, and the reaction solution was added to 15 wt % brine (960 ml) under ice cooling. Subsequently, the mixture was adjusted to pH 6 to 7 by the addition of 1 M hydrochloric acid. Subsequently, common salt (102 g) was added thereto at the same temperature, and the mixture was stirred overnight. The resultant precipitate was collected by filtration, was washed with water (136 ml), and was dried under the reduced pressure to give ethyl 2-bromoimidazo[5,1-b]thiazole-7-carboxylate (40.4 g, yield 91.9%).","sodium hydride | N,N-dimethylformamide | nitrogen | Ethyl isocyanoacetate | 2,5-dibromothiazole | N,N-dimethylformamide | Water | brine | ice | hydrochloric acid | salt | resultant precipitate | water | ethyl 2-bromoimidazo[5,1-b]thiazole-7-carboxylate"
US08168633B2,"Prepared according to the method used in the preparation of 5-(5-chloro-7-morpholin-4-ylthiazolo[4,5-d]pyrimidin-2-ylmethyl)-hexahydro-pyrrolo[3,4-c]pyrrole-2-carboxylic acid tert-butyl ester using 1-cyclopropylmethylpiperazine in place of hexahydro-pyrrolo[3,4-c]pyrrole-2-carboxylic acid tert-butyl ester. The title compound was obtained as a yellow solid (170 mg, 58%).","5-(5-chloro-7-morpholin-4-ylthiazolo[4,5-d]pyrimidin-2-ylmethyl)-hexahydro-pyrrolo[3,4-c]pyrrole-2-carboxylic acid tert-butyl ester | 1-cyclopropylmethylpiperazine | title compound | solid"
US07582644B2,"The subtitle compound was prepared according to the procedure of Example 1 step i) treating 4-amino-6-hydroxy-2-mercaptopyrimidine monohydrate (2.0 g) with 3,4-difluorobenzyl bromide (2.66 g) to afford the subtitle compound as a white solid. Yield: 3.35 g.","subtitle compound | 4-amino-6-hydroxy-2-mercaptopyrimidine monohydrate | 3,4-difluorobenzyl bromide | subtitle compound"
US06894061B2,"A stirred suspension of 3-methoxy-N-[1-(2′,4,4′-trifluoro-1,1′-biphenyl-2-yl)ethyl]benzenesulfonamide (0.88 g, 2.1 mmol) and potassium carbonate (0.58 g, 4.2 mmol) in N,N-dimethylformamide (5 mL) was heated for twelve hours at 100° C. The reaction mixture was cooled and poured into distilled water. After stirring overnight at room temperature, a precipitate was filtered and dried under high vacuum. The title compound (0.81 g, 2.0 mmol, 96%) was obtained as a colorless, fine, crystalline powder, m.p. 147-149° C.;","3-methoxy-N-[1-(2′,4,4′-trifluoro-1,1′-biphenyl-2-yl)ethyl]benzenesulfonamide | potassium carbonate | N,N-dimethylformamide | water | title compound"
US08207172B2,"To ethanol (60 mL) were sequentially added 4-chloro-5,8-dihydro-6H-spiro[1-benzothieno[2,3-d]pyrimidine-7,2′-[1,3]dioxolane] (5.70 g, 20.2 mmol), 3-Chloro-4-(pyridin-2-ylmethoxyl)-phenylamine (4.78 g, 20.37 mmol), and HCl in ethanol (1N, 4 mL). The suspension was stirred with heating to 80° C., upon which time the contents turn brown and homogeneous. After 12 h, the dark orange-yellow heterogeneous mixture was removed from heating, and allowed to cool to rt. The contents were concentrated down to about 30 mL in volume and the precipitate was collected by filtration as a light-brown solid (10.1 g, 92%). 1H-NMR (DMSO-d6) δ 8.71 (d, 1H), 8.40 (s, 1H), 8.33 (s, 1H), 8.10 (td, 1H), 7.80 (d, 1H), 7.75 (d, 1H), 7.56 (m, 2H), 7.25 (d, 1H), 5.48 (br, 1H), 5.38 (s, 2H), 3.99 (s, 4H), 3.28 (t, 2H), 3.03 (s, 2H), 1.97 (t, 2H); LCMS RT=2.73 min; [M+H]+=481.1.","ethanol | 4-chloro-5,8-dihydro-6H-spiro[1-benzothieno[2,3-d]pyrimidine-7,2′-[1,3]dioxolane] | 3-Chloro-4-(pyridin-2-ylmethoxyl)-phenylamine | HCl | ethanol | solid"
US20050014727A1,"A suspension of 3-(3-methoxy-4-nitro-phenyl)-3-(3,4,5-trimethoxy-phenyl)-acrylonitrile (0.9 g, 2.4 mmol) and tin chloride dihydrate (4.0 g, 17.7 mmol) in ethanol (25 mL) was heated at 70° C. for 1 h. The mixture was cooled and poured into ice (200 mL). The pH was made strongly alkaline by the addition of ION NaOH. The mixture was extracted with EtOAc (5×50 mL) and the combined organic extracts were washed with water (40 mL), brine (40 mL), and dried (MgSO4). Solvent was removed and the residue was purified by flash chromatography (silica gel, Hexane: EtOAc 1:1) to afford mixture isomers of 3-(4-amino-3-methoxy-phenyl)-3-(3,4,5-trimethoxy-phenyl)-acrylonitrile (0.4 g, 42%) as a yellow solid: mp 123-125° C.; 1H NMR (CDCl3) δ 7.05-6.53 (m, 5H), 5.56(5.43) (s, 1H), 4.12 (s, 2H), 3.91-3.81 (m, 12H); 13C NMR (CDCl3) δ 163.19, 163.09, 152.99, 152.93, 146.63, 139.82, 138.74, 135.43, 132.66, 128.33, 126.35, 124.12, 118.96, 113.76, 113.74, 111.99, 110.22, 107.35, 106.42, 91.14, 90.52, 60.94, 56.28, 56.25, 55.74, 55.59; Anal Calcd for C19H20N2O4: C, 67.05; H, 5.92; N, 8.23. Found: c, 66.92; H, 5.76; N, 8.10.","3-(3-methoxy-4-nitro-phenyl)-3-(3,4,5-trimethoxy-phenyl)-acrylonitrile | tin chloride dihydrate | ethanol | ice | NaOH | EtOAc | water | brine | MgSO4 | silica gel | 3-(4-amino-3-methoxy-phenyl)-3-(3,4,5-trimethoxy-phenyl)-acrylonitrile"
US09409952B2,"A solution of (S)-2-amino-3-mercaptopropanoic acid hydrochloride hydrate (1.00 g, 5.69 mmol) in methanol (5.1 mL) was mixed with a solution of the prepared S-tert-butyl methanesulfonothioate (Compound SP684, 1.05 g, 6.26 mmol) in tetrahydrofuran (2.0 mL) and triethylamine (2.38 mL, 17.1 mmol) with stirring at 0° C., and the reaction mixture was stirred at room temperature for 3 hours. The reaction mixture was purified by reverse-phase silica gel column chromatography (0.1% aqueous formic acid solution/0.1% formic acid-acetonitrile solution) to afford (S)-2-amino-3-(tert-butyldisulfanyl)propanoic acid (H-D-Cys(StBu)-OH) (Compound SP641) (620 mg, 2.96 mmol, 52%).",(S)-2-amino-3-mercaptopropanoic acid hydrochloride hydrate | methanol | S-tert-butyl methanesulfonothioate | tetrahydrofuran | triethylamine | silica gel | formic acid | formic acid-acetonitrile | (S)-2-amino-3-(tert-butyldisulfanyl)propanoic acid
US20080292588A1,"To a solution of 3-(7-amino-1-methyl-1-oxo-1λ6-benzo[1,2,4]thiadiazin-3-yl)-5-tert-butyl-1-(3-chloro-4-fluoro-benzyl)-4-hydroxy-1,5-dihydro-pyrrol-2-one (31) (0.046 g, 0.093 mmol) in acetone (1.5 mL) added pyridine (0.153 mL, 1.87 mmol) followed by dropwise addition of methane sulfonylchloride (0.108 mL, 1.39 mmol). The reaction mixture was stirred at room temperature for 2.5 h, then diluted with ethyl acetate (50 mL), washed with 0.5 N HCl (50 mL) and brine (50 mL) via extraction. The separated organic layer was dried over MgSO4 and concentrated to dryness under reduced pressure. The crude product thus obtained was further purified by prep-TLC plate coated with a thin layer of silica gel to afford N-{3-[5-tert-butyl-1-(3-chloro-4-fluoro-benzyl)-4-hydroxy-2-oxo-2,5-dihydro-1H-pyrrol-3-yl]-1-methyl-1-oxo-1λ6-benzo[1,2,4]thiadiazin-7-yl}-methanesulfonamide (32) (3.9 mg, 7.4% yield) as a solid. 1H NMR (400 MHz, CDCl3) δ: 1.08 (s, 9H), 3.08 (s, 3H), 3.23-3.33 (m, 1H), 3.59 (s, 3H), 4.30 (d, 1H, J=15.6 Hz), 5.17 (d, 1H, J=16.3 Hz), 7.05-7.09 (m, 2H), 7.22-7.24 (m, 2H), 7.57-7.67 (m, 1H), 7.75-7.75 (m, 1H). LC-MS (ESI+): m/e 569.2 [M+1]+ (exact ms: 568.1).","3-(7-amino-1-methyl-1-oxo-1λ6-benzo[1,2,4]thiadiazin-3-yl)-5-tert-butyl-1-(3-chloro-4-fluoro-benzyl)-4-hydroxy-1,5-dihydro-pyrrol-2-one | acetone | pyridine | methane sulfonylchloride | ethyl acetate | HCl | brine | MgSO4 | crude product | N-{3-[5-tert-butyl-1-(3-chloro-4-fluoro-benzyl)-4-hydroxy-2-oxo-2,5-dihydro-1H-pyrrol-3-yl]-1-methyl-1-oxo-1λ6-benzo[1,2,4]thiadiazin-7-yl}-methanesulfonamide"
US04853383,"A solution of 3 (195 g, 0.76 mol), benzoic acid (3.0 g), benzaldehyde (270 ml), C6H6 (180 ml) was heated to reflux while collecting the H2O in a Dean-Stark trap. After 21/2 hours, 13 ml of H2O was collected and the solution cooled, washed with saturated Na2CO3. The aqueous layer was washed with CHCl3 (2X) and the combined extracts dried, filtered and concentrated to dryness to yield 232 g of 5 which contains 26 mol % benzaldehyde. This corresponds to 209 g of 5; 'H NMR (CDCl3) δ 2.6 (6H, m), 3.4 (2H, m), 3.75 (7H, d, m), 4.3 (1H, m), 4.8 (1H, d), 6.7 (3H, m), 7.4 (5H, bs). ##STR150##",3 | benzoic acid | benzaldehyde | C6H6 | H2O | H2O | Na2CO3 | CHCl3 | 5
US08252931B2,"To a 1 L round bottom flask containing 250 mL of 9:1 THF/DMPU at −78° C. are added under nitrogen 11 mL (78.6 mmol) anhydrous DIEA followed by rapid addition of 32 mL of 2.5 M n-BuLi in hexanes. After 10 min at −78° C. a solution of 15.4 g (74 mmol) of p-nitrophenylacetic acid, ethyl ester in 100 mL of 9:1 THF/DMPU is added dropwise over 30 min. A deep purple solution results, and the reaction mixture is stirred at −78° C. for 30 min and then cyclopentyl methyl iodide (17.6 g, 78 mmol) in 50 mL of 9:1 THF/DMPU is added. The reaction is stirred while warming slowly to RT overnight. The mixture is poured into 1 L of 1 N HCl and extracted twice with MTBE. The combined MTBE extracts are washed with brine, dried over anhydrous magnesium sulfate, filtered and reduced to an orange oil. Flash chromatography over silica eluting with 4:1 hexane/MTBE affords 3-cyclopentyl-2-(4-nitro-phenyl)-propionic acid ethyl ester as an orange oil: 1H NMR (400 MHz, CDCl3) δ 1.0-1.1 (m, 2H), 1.2 (t, 3H, J=7.2), 1.4-1.8 (m, 5H), 1.8-1.9 (m, 2H), 2.1-2.25 (m, 2H), 3.74 (t, 1H, J=7.8), 4.1 (m, 2H), 7.51 (d, 2H, J=8.8), 8.19 (d, 2H, J=8.8); LC/MS 290 (M−1).","THF/DMPU | nitrogen | n-BuLi | hexanes | p-nitrophenylacetic acid, ethyl ester | THF/DMPU | cyclopentyl methyl iodide | THF/DMPU | HCl | MTBE | MTBE | brine | magnesium sulfate | silica | hexane/MTBE | 3-cyclopentyl-2-(4-nitro-phenyl)-propionic acid ethyl ester"
US20140134193A1,"Synthesis of (2S,3Z)-5-{[(2R,3R,5S,6S)-6-{(2E,4E)-5-[(3S,5S,7S)-7-(2-{(2E)-2-[1-(4-{4-[(2,5-dioxopyrrolidin-1-yl)oxy]-4-oxobutoxy}phenyl)ethylidene]hydrazinyl}-2-oxoethyl)-1,6-dioxaspiro[2.5]oct-5-yl]-3-methylpenta-2,4-dien-1-yl}-2,5-dimethyltetrahydro-2H-pyran-3-yl]amino}-5-oxopent-3-en-2-yl acetate (#B19). To a solution of #B18 (25 mg, 0.034 mmol, 1 eq.) dissolved in tetrahydrofuran (0.7 mL, 0.049 M) was added DCC (15.5 mg, 0.075 mmol, 2.2 eq.) followed by N-Hydroxy succinimide (8.60 mg, 0.075 mmol, 2.2 eq.). The reaction was stirred for 4 hours. Solvents were removed in vacuo and the residue was purified by reverse phase chromatography (Method A) to afford #B19 as a white solid. Yield: 13 mg, 0.015 mmol, 46%. LCMS (Protocol D); m/z 835.8 [M+H]+, retention time=0.92 minutes.","(2S,3Z)-5-{[(2R,3R,5S,6S)-6-{(2E,4E)-5-[(3S,5S,7S)-7-(2-{(2E)-2-[1-(4-{4-[(2,5-dioxopyrrolidin-1-yl)oxy]-4-oxobutoxy}phenyl)ethylidene]hydrazinyl}-2-oxoethyl)-1,6-dioxaspiro[2.5]oct-5-yl]-3-methylpenta-2,4-dien-1-yl}-2,5-dimethyltetrahydro-2H-pyran-3-yl]amino}-5-oxopent-3-en-2-yl acetate | tetrahydrofuran | DCC | N-Hydroxy succinimide"
US08148391B2,"Title compound was prepared from 8-Amino-1,3,4,5-tetrahydro-benzo[b]azepin-2-one and (2,5-Dichloro-pyrimidin-4-yl)-(2-fluoro-6-methanesulfonyl-phenyl)-amine in an analogous manner to Example 1221d. Product isolated as an off-white solid (52 mg, 41%). MP=242-245, LCMS 478.05 (M+H), HPLC purity 93%, 1H-NMR (DMSO-d6, 400 MHz) δ 9.50 (s, 1H), 9.19 (s, 1H), 8.89 (s, 1H), 8.20 (s, 1H), 7.85 (d, J=8.0 Hz, 1H), 7.75-7.72 (m, 1H), 7.67-7.64 (m, 1H), 7.02 (d, J=8.0 Hz, 1H), 6.93 (s, 1H), 6.84 (d, J=8.0 Hz, 1H), 3.21 (s, 3H), 2.55-2.51 (m, 2H), 2.07-2.04 (m, 4H).","Title compound | 8-Amino-1,3,4,5-tetrahydro-benzo[b]azepin-2-one | (2,5-Dichloro-pyrimidin-4-yl)-(2-fluoro-6-methanesulfonyl-phenyl)-amine | solid"
US09034887B2,"Concentrated sulphuric acid (1 mL) was added to a solution of 2-amino-4-methyl-benzoic acid (1.0 g, 6.62 mmol) in dry methanol (10 mL) at 0° C., and then heated at reflux for 16 hr. The mixture was cooled to room temperature and concentrated in vacuo. The crude compound was diluted with water (25 mL) and basified with sodium bicarbonate (10 mL). The aqueous layer was extracted with ethyl acetate (2×50 mL) and the combined organic layers were washed with water (50 mL), brine (50 mL) and dried over sodium sulfate. The organic layer was concentrated under reduced pressure affording 2-amino-4-methyl-benzoic acid methyl ester (900 mg, 82%) as yellow liquid.",sulphuric acid | 2-amino-4-methyl-benzoic acid | methanol | crude compound | water | ethyl acetate | water | brine | sodium sulfate | 2-amino-4-methyl-benzoic acid methyl ester
US20150045394A1,"DIPEA (200 μl, 0.567 mmol) was added to a suspension of 2-hydroxy-4-phenyl-3-(2-(2-phenylthiazol-4-yl)nicotinamido)butanoic acid (250 mg, 0.544 mmol) und O-methylhydroxylamine hydrochloride (90 mg, 1.078 mmol) in dichloromethane (50 ml) at 5° C. After about 5 min 2-(1H-7-azabenzotriazol-1-yl)-1,1,3,3-tetramethyl uronium hexafluorophosphate (HATU) (665 mg, 1.748 mmol) was added, the pH adjusted to 8 via addition of further DIPEA, and the mixture then stirred for 1 h at 5° C. and then overnight at room temperature. Then dichloromethane (50 ml) was added, washed 2× with 10 ml of water and brine, dried, filtered and concentrated to give 430 mg of the crude product which was purified by chromatography on silica gel (dichloromethane+11-12% methanol. Concentration of the combined fractions and drying afforded 224 mg of a white amorphous solid;","DIPEA | 2-hydroxy-4-phenyl-3-(2-(2-phenylthiazol-4-yl)nicotinamido)butanoic acid | dichloromethane | 2-(1H-7-azabenzotriazol-1-yl)-1,1,3,3-tetramethyl uronium hexafluorophosphate | DIPEA | dichloromethane | water | brine | crude product | silica gel | dichloromethane | white amorphous solid"
US20090099177A1,"1M TBAF in THF (1.03 mL, 1.03 mmol) added dropwise to a solution of 6-[(5-chloro-2-{[(4-chloro-2-fluorophenyl)methyl]oxy}phenyl)methyl]-2-pyridinecarbaldehyde (266.8 mg, 0.68 mmol) and TMSCF3 [trimethyl(trifluoromethyl)silane, 151 μL, 1.02 mmol] in THF at 0° C. Stirred for 2 days at room temperature then left to stand for 1 day. Diluted with Et2O and washed with water, dried (Na2SO4), filtered and evaporated. Purified on 10 g SPE silica cartridge with hexane+EtOAc (5-10%) as eluent to give the title compound (148.8 mg, 47%).",TBAF | THF | 6-[(5-chloro-2-{[(4-chloro-2-fluorophenyl)methyl]oxy}phenyl)methyl]-2-pyridinecarbaldehyde | TMSCF3 | THF | Et2O | water | Na2SO4 | silica | title compound
US04399137,"6.7 g (35 millimoles) of 3-chloro-6-(2-methyl-imidazol-1-yl)-pyridazine are taken up in 30 ml of hydrazine hydrate and the mixture is heated for 5-10 hours at 100°-130° C. under nitrogen as a protective gas; the reaction mixture becomes homogeneous in the course of the first few hours. When the mixture has cooled, the crude product which has precipitated is filtered off. It is also possible to pour the reaction mixture into ice water and extract the mixture repeatedly with methylene chloride. Continuous extraction by means of a rotary perforator, using methylene chloride or chloroform as the extraction solvents, has also proved an advantageous method. Yet a further possibility is to distil off the hydrazine hydrate under reduced pressure.",3-chloro-6-(2-methyl-imidazol-1-yl)-pyridazine | hydrazine hydrate | nitrogen | crude product | ice water | methylene chloride | hydrazine hydrate
US07825114B2,"In analogy to GP 2, reaction of 7.2 g Intermediate 1.1 (20.4 mmol, 1 eq.), 2.5 mL dry pyridine (30.6 mmol, 1.5 eq.), 5.14 ml trifluoromethanesulfonic acid anhydride (30.6 mmol, 1.5 eq.) in 320 mL DCM yielded 4.2 g 2-pyridyl triflate (8.65 mmol, 43% yield).",Intermediate 1.1 | pyridine | trifluoromethanesulfonic acid anhydride | DCM | 2-pyridyl triflate
US08791102B2,"Proceeding as in Reference 5, but substituting 4-(p-tolyloxy)aniline and (S)-3-(benzyloxy)-2-(tert-butoxycarbonylamino)propanoic acid, gave (S)-2-amino-3-(benzyloxy)-N-(4-(p-tolyloxy)phenyl)propanamide (350 mg, 92%).",4-(p-tolyloxy)aniline | (S)-3-(benzyloxy)-2-(tert-butoxycarbonylamino)propanoic acid | (S)-2-amino-3-(benzyloxy)-N-(4-(p-tolyloxy)phenyl)propanamide
US20100075952A1,"The title compound was prepared under the same conditions as described in step of Example 32 with 3-methyl-4-oxo-5-(2-piperidin-1-yl-ethyl)-1,4,5,6,7,8-hexahydro-pyrrolo[3,2-c]azepine-2-carbaldehyde 32d obtained from step 4 of Example 32 and 5-fluoro-6-(4-fluoro-benzylamino)-1,3-dihydro-indol-2-one 3e obtained from step 4 of Example 3 as starting materials to obtain 2-[5-fluoro-6-(4-fluoro-benzylamino)-2-oxo-1,2-dihydro-indol-3-ylidenemethyl]-3-m ethyl-5-(2-piperidin-1-yl-ethyl)-5,6,7,8-tetrahydro-1H-pyrrolo[3,2-c]azepin-4-one 55 (77 mg, yield 90.8%) as a yellow solid.","title compound | 3-methyl-4-oxo-5-(2-piperidin-1-yl-ethyl)-1,4,5,6,7,8-hexahydro-pyrrolo[3,2-c]azepine-2-carbaldehyde | 5-fluoro-6-(4-fluoro-benzylamino)-1,3-dihydro-indol-2-one | 2-[5-fluoro-6-(4-fluoro-benzylamino)-2-oxo-1,2-dihydro-indol-3-ylidenemethyl]-3-m ethyl-5-(2-piperidin-1-yl-ethyl)-5,6,7,8-tetrahydro-1H-pyrrolo[3,2-c]azepin-4-one"
US20120184523A1,"Crude cyclopropane-1,1-dicarboxylic acid [3-fluoro-4-(6-hydroxy-7-methoxy-quinazolin-4-yloxy)-phenyl]-amide (4-fluoro-phenyl)-amide (333 mg, 0.66 mmol), PS-PPh3 resin, (loading=2.33 mmol/g, 797 mg, 1.86 mmol), 3-morpholin-4-yl-propan-1-ol (0.26 ml, 1.88 mmol), and DEAD (0.31 ml, 1.91 mmol) were combined in CH2Cl2 (10 ml) and stirred at room temperature for 1-2 hrs. The reaction mixture was filtered and the resin thoroughly washed with CH2Cl2. The filtrate was concentrated in vacuo and the resulting residue was dissolved in EtOAc and washed with H2O (4×) and sat'd NaCl (1×) and then extracted with 1N HCl (3×). The combined 1N HCl extractions were washed with EtOAc (2×). The acidic aqueous phase was then basified with 1N NaOH and extracted with EtOAc (3×). The combined EtOAc extractions were washed with H2O (1×), sat'd NaCl (1×), dried (Na2SO4), and concentrated in vacuo. The resulting residue was purified by preparative reverse phase HPLC (25 mM NH4OAc/acetonitrile) and the pure fractions were lyophilized to give cyclopropane-1,1-dicarboxylic acid {3-fluoro-4-[7-methoxy-6-(3-morpholin-4-yl-propoxy)-quinazolin-4-yloxy]-phenyl}-amide (4-fluoro-phenyl)-amide (42.6 mg, 10%). 1H NMR (400 MHz, DMSO-d6): δ 10.37 (br s, 1H), 10.05 (br s, 1H), 8.55 (s, 1H), 7.84 (m, 1H), 7.65 (m, 2H), 7.58 (s, 1H), 7.43 (m, 3H), 7.16 (t, 2H), 4.27 (m, 2H), 4.00 (s, 3H), 3.60 (m, 6H), 2.39 (m, 4H), 1.99 (m, 2H), 1.47 (m, 4H). LC/MS Calcd for [M+H]+ 634.2. Found 634.1.","cyclopropane-1,1-dicarboxylic acid [3-fluoro-4-(6-hydroxy-7-methoxy-quinazolin-4-yloxy)-phenyl]-amide (4-fluoro-phenyl)-amide | PPh3 | 3-morpholin-4-yl-propan-1-ol | DEAD | CH2Cl2 | CH2Cl2 | EtOAc | H2O | NaCl | HCl | HCl | EtOAc | EtOAc | EtOAc | H2O | NaCl | Na2SO4 | NH4OAc/acetonitrile | cyclopropane-1,1-dicarboxylic acid {3-fluoro-4-[7-methoxy-6-(3-morpholin-4-yl-propoxy)-quinazolin-4-yloxy]-phenyl}-amide (4-fluoro-phenyl)-amide"
US07399775B2,"Under stirring at −78° C., tert-butyl lithium (1.51M pentane solution: 4.6 ml) was added dropwise to a solution of 2,5-dichloropyridine (1.02 g, 6.89 mmol) in ether (20 ml). After stirring at −78° C. for 2 hours, pyridin-4-carbaldehyde (0.65 ml, 6.89 mmol) was added to the reaction mixture. The resulting mixture was stirred at −78° C. for 1 hour. Water was added to the reaction mixture and the temperature was raised to room temperature. The mixture was extracted with methylene chloride. The extract was dried over anhydrous sodium sulfate and filtered. The filtrate was then concentrated under reduced pressure. The residue thus obtained was subjected to chromatography on a silica gel column. A fraction obtained from the eluate with methanol:methylene chloride (1:50) was concentrated under reduced pressure. The solid thus obtained was washed with ether and collected by filtration, whereby the title compound (819 mg, 3.21 mmol, 47%) was obtained as a white powder.","tert-butyl lithium | 2,5-dichloropyridine | ether | pyridin-4-carbaldehyde | Water | methylene chloride | sodium sulfate | methanol:methylene chloride | ether | title compound"
US20160221945A1,"DIBAL-H (17 mL, 119.53 mmol, 1M in hexanes, 3.00 equiv) was added dropwise into a solution of methyl 4-(6-methylpyrimidin-4-yl)bicyclo[2.2.2]octane-1-carboxylate (1.5 g, 5.76 mmol, 1.00 equiv) in dichloromethane (150 mL) at −78° C. under nitrogen. The resulting solution was stirred for 3 h at −78° C. The reaction was then quenched by sodium hydroxide (1N). The solids were filtered out. The filtrate was dried over anhydrous sodium sulfate and concentrated under vacuum. This resulted in the title compound (1.1 g, 82%) as a white solid.",DIBAL-H | methyl 4-(6-methylpyrimidin-4-yl)bicyclo[2.2.2]octane-1-carboxylate | dichloromethane | nitrogen | sodium hydroxide | sodium sulfate | title compound
US04684652,"The procedure of Example 24 is followed using ethyl 2-phenylquinazoline-4-carboxylate (2 g), piperidin-4-ol (1.4 g), a 1.6M solution of butyllithium in hexane (18 ml) and tetrahydrofuran (30 ml) as the starting materials. After recrystallisation from a mixture of methanol and methylene chloride, 1-[(2-phenylquinazolin-4-yl)-carbonyl]-piperidin-4-ol (2.1 g), melting at 209° C., is obtained.",ethyl 2-phenylquinazoline-4-carboxylate | piperidin-4-ol | butyllithium | hexane | tetrahydrofuran | methanol | methylene chloride | 1-[(2-phenylquinazolin-4-yl)-carbonyl]-piperidin-4-ol | 1-[(2-phenylquinazolin-4-yl)-carbonyl]-piperidin-4-ol
US08748613B2,"(R)-Quinuclidin-3-yl 2-phenyl-2-(piperidin-1-yl)acetate (120 mg, 0.36 mmol) was dissolved in ethyl acetate (3.65 ml) and 2-bromo-1-(thiazol-2-yl)ethanone (83 mg, 0.42 mmol) was added. The mixture was stirred at room temperature for 16 hours. The solvent was evaporated and the residue was purified by flash chromatography (DCM/MeOH=95/5 to 9/1) to obtain (3R)-1-(2-oxo-2-(thiazol-2-yl)ethyl)-3-(2-phenyl-2-(piperidin-1-yl)acetoxy)-1-azoniabicyclo[2.2.2]octane bromide (125 mg, 0.234 mmol, 64.0% yield) pale brown solid.",(R)-Quinuclidin-3-yl 2-phenyl-2-(piperidin-1-yl)acetate | ethyl acetate | 2-bromo-1-(thiazol-2-yl)ethanone | DCM/MeOH | (3R)-1-(2-oxo-2-(thiazol-2-yl)ethyl)-3-(2-phenyl-2-(piperidin-1-yl)acetoxy)-1-azoniabicyclo[2.2.2]octane bromide
US07041672B2,"Following the procedure for the preparation of 5-(2,4-dichlorophenyl)-N-[(1R,2S)-2-ethoxy-2,3-dihydro-1H-inden-1-yl]-3,6-diethylpyrazin-2-amine but benzyl(3R,4S)-3-{[5-(2-chloro-4-methoxyphenyl)-3,6-diethylpyrazin-2-yl]amino}-4-hydroxypyrrolidine-1-carboxylate and making non-critical variations provided the title compound as a oil: 1H NMR (DMSO-d6) δ) 1.04, 1.16, 2.38, 2.68, 3.34, 3.40, 3.54, 3.70, 3.82, 4.18, 4.62, 5.10, 5.95, 6.98, 7.10, 7.26, 7.38; IR (diffuse reflectance) 2971, 2934, 2350 (w), 2338 (w), 2063 (w), 1949 (w), 1710 (s), 1568, 1482 (s), 1419 (s), 1397 (s), 1348, 1287, 1228, 1096, cm−1 HRMS (FAB) calcd for C29H35ClN4O4+H 539.2425, found 539.2436.","5-(2,4-dichlorophenyl)-N-[(1R,2S)-2-ethoxy-2,3-dihydro-1H-inden-1-yl]-3,6-diethylpyrazin-2-amine | benzyl(3R,4S)-3-{[5-(2-chloro-4-methoxyphenyl)-3,6-diethylpyrazin-2-yl]amino}-4-hydroxypyrrolidine-1-carboxylate | title compound"
US20140315894A1,"A mixture consisting of benzaldehyde (290 μL, 2.87 mmol, 1.0 equ.), malononitrile (190 mg, 2.87 mmol, 1.0 equ.) and triethylamine (400 μL, 2.87 mmol, 1.0 equ.) in ethanol (10 mL) was stirred for 1 min, followed by the addition of 1-methyl-3-phenyl-1H-pyrazol-5(4H)-one (500 mg, 2.87 mmol, 1 equ.). The reaction mixture was concentrated after 21 h and washed with ethanol and hexanes; re-crystallized from ethanol, and washed with hexanes and ethanol to give 6-amino-1-methyl-3,4-diphenyl-1,4-dihydropyrano[2,3-c]pyrazole-5-carbonitrile (282 mg, 8.58 mmol, 30%) as a white solid. 1H-NMR (400 MHz) DMSO: 7.41-7.38 (m, 2H), 7.28-7.24 (m, 2H), 7.21-7.18 (m, 6H), 4.88 (s, 1H), 4.77 (s, 2H), 3.83 (s, 3H), 13C-NMR (100 MHz) DMSO: 158.1, 146.0, 144.8, 144.6, 133.2, 128.7, 128.5, 127.9, 127.8, 127.1, 126.4, 120.5, 95.7, 59.9, 38.2, 34.5; LC/MS-MS: 329.1-263.1 m/z; GS1 and GS2 at 30, DP=71, CE=31, CXP=18, tR=4.00 min.","benzaldehyde | malononitrile | triethylamine | ethanol | 1-methyl-3-phenyl-1H-pyrazol-5(4H)-one | ethanol | hexanes | ethanol | hexanes | ethanol | 6-amino-1-methyl-3,4-diphenyl-1,4-dihydropyrano[2,3-c]pyrazole-5-carbonitrile"
